,clean_name,final_brand
0,元山熱水瓶ys540ap,元山
1,姍拉娜治痘洗面乳,姍拉娜
2,台鹽海洋鹼性離子水,台鹽
3,妮傲絲翠果酸深層保養乳液,neo-tec妮傲絲翠
4,舒潔棉柔舒適迪士尼抽取式衛生紙,舒潔
5,飛利浦全自動美式研磨咖啡機,philips飛利浦
6,k專科完美深層美白面膜,senka專科
7,refine 極厚酒精除菌濕紙巾,refine
8,fancl 芳珂魔法泡泡潔顏粉 綿密柔滑泡泡 洗淨油脂污垢,fancl芳珂
9,龜丸大豆本釀醬油,龜甲萬
10,維力真爽黑胡椒牛肉風味麵,真爽
11,紅牛能量,red bull紅牛
12,理膚寶水 多容安舒緩濕潤乳液  原 多容安濕潤乳液 la rocheposay巴黎丁亞洲限定可集點,la roche posay理膚寶水
13,光泉1鮮乳,光泉
14,im meme我愛澄露潤唇膏,i'm meme
15,簡單點優酪乳原味,味全
16,法國富維克天然礦泉水,volvic富維克
17,妮維雅清新蘆薈身體乳,nivea妮維雅
18,日本獅王浸透護齦牙膏,lion獅王
19,kissme花漾美姬瞬翹自然捲纖長防水睫毛膏02玫瑰棕,kissme奇士美
20,珂潤curel潤浸保濕化粧水ii輕潤型,curel珂潤
21,雪芙蘭美肌spa沐浴乳睡蓮舒活愛買,cellina雪芙蘭
22,sana豆乳美肌保濕透亮眼霜,sana莎娜
23,黑人超氟牙膏,黑人
24,曼秀雷敦粉漾變色潤唇膏蜜桃粉,mentholatum曼秀雷敦
25,味王麻油雞包麵,台酒
26,台鹽純沛海洋離子氣泡水,台鹽
27,chicco粉藍金魚兒童牙刷,chicco
28,味全香菇昆布醬油,味全
29,韓國wonder mama黃金麥飯石鍋2代灰金耐磨不沾湯鍋組含蓋,wonder mama萬能媽媽
30,小蜜媞潤唇膏防曬,carmex小蜜媞
31,apple iphone 12 綠色mgjl3taa,apple蘋果
32,刷樂經典牙刷3,刷樂
33,panasonic 雙負離子吹風機 ne74n,panasonic國際牌
34,麒麟番搾生啤酒,kirin
35,西雅圖甜蜜蠻牛,保力達
36,lion 獅王 獅王固齒佳牙膏,lion獅王
37,牛頭牌沙茶醬素食,buffalo牛頭牌
38,國際牌ehna27pp 奈米水離子折疊吹風機粉,panasonic國際牌
39,福樂一番鮮低脂鮮乳,福樂
40,美麗日記蜜若藍超能補水面膜,my beauty diary我的美麗日記
41,悅氏日式綠茶無糖,悅氏茶品
42,essence愛無極限極濃密型睫毛膏,essence cosmetics艾森絲
43,cezanne 絲滑防曬蜜粉餅 385,cezanne
44,nailtone 持久引力指甲油琥珀橘,nailholic
45,eupa 紫外線殺菌烘碗機雙層 tt2,eupa優柏
46,nike 耐吉慢跑鞋 double stacked 運動 女鞋 雙層氣墊 舒適 避震 路跑 健身 球鞋 黑 綠ci,nike耐吉
47,olay whip多效空氣感面霜,olay歐蕾
48,曼秀雷敦水潤肌柔光透亮防曬飾底凝露,mentholatum曼秀雷敦
49,iphone 12 mini red btwn,apple蘋果
50,艾瑪花園洋甘菊護色水亮強韌洗髮精,amma garden艾瑪花園
51,萬家香 壺底油醬油,萬家香
52,apple iphone 12 pro max,apple蘋果
53,高露潔清香牙膏,高露潔
54,熊寶貝柔軟護衣精舒恬薰衣草,snuggle熊寶貝
55,sowa sowa純淨香氛洗髮精,sowa sowa
56,藍帶廚坊貓健康挑嘴貓海鮮羊肉,lcb藍帶廚坊
57,championbasic 經典短tee綠色,champion
58,元山電子鍋 5101rc,元山
59,heme 純色腮紅  11 sunset coral,heme喜蜜
60,東元直立式吸塵器xyfxj6033xyfxj6032,teco東元
61,雞胸肉主廚煙燻,泰安
62,澡享沐浴乳牡丹小蒼蘭,澡享
63,媚點 水灩光唇膏 pk,media媚點
64,伊萊克斯hepa無線吸塵器年終爆殺檔,electrolux伊萊克斯
65,台鹽海洋鹼性離子水,台鹽
66,essence心機裸膚柔霧蜜粉10,essence cosmetics艾森絲
67,雪芙蘭 海洋活泉沐浴乳 珍珠淨白珍珠淨白,ocean spring
68,台灣 當天小米 正品 無線 鼠標 lite 滑鼠,xiaomi小米
69,白蘭氏學進雞精,白蘭氏
70,乳香世家鮮乳全脂,光泉
71,特福香頌不鏽鋼系列雙耳湯鍋g,tefal特福
72,essence 艾森絲 摩登9色眼影盤 兩款可選,essence cosmetics艾森絲
73,samsung 三星galaxy a71  八核心手機,samsung三星
74,露華濃無懈可擊淨化蜜粉002裸膚色,revlon露華濃
75,cezanne 持久潤澤唇膏 732,za
76,曼秀雷敦花園香護手霜茉莉,mentholatum曼秀雷敦
77,霧幻性感唇膏marrakesh,m.a.c
78,麗奇 牙周對策牙刷短刷頭極細毛,reach麗奇
79, venus marble 維納斯 12色大理石眼影盤 啞光 大地色 桃花 西柚色 珠光,venus marble
80,nestle 雀巢金牌阿拉比卡濾掛咖啡組,nestle雀巢
81,m 原萃綠茶玉露,原萃
82,skechers女 休閒系列 d lites kozmikswmlt,skechers
83,ucc經典風味濾掛式咖啡m,ucc
84,刷樂兒童含氟牙膏 草莓口味,刷樂
85,asd經典超耐磨炒鍋,asd愛仕達
86,雪坊優格,雪坊
87,送1tb硬碟asus 華碩 vivopc vc66c2101ynta i3四核迷你電腦i310100 ssdwin10,asus華碩
88,台灣啤酒,台啤
89,法國皇家 royal canin 即期bhnw 臘腸犬專用濕糧dsw   狗主食餐包,royal法國皇家
90,海倫潔淨洗髮乳,海倫仙度絲
