,original_brand,brand_ch,brand_en,cleaned_brand
0,元山,元山,,元山
1946,金安心,金安心,,金安心
1943,虎屋,虎屋,,虎屋
1936,阿娟,阿娟,,阿娟
1935,戀戀情人,戀戀情人,,戀戀情人
1933,雙飛燕,雙飛燕,,雙飛燕
1932,艾美特,艾美特,,艾美特
1929,旺寶,旺寶,,旺寶
1927,味榮,味榮,,味榮
1926,佐登妮絲,佐登妮絲,,佐登妮絲
1922,林內,林內,,林內
1920,朵舒,朵舒,,朵舒
1918,營養師輕食,營養師輕食,,營養師輕食
1916,靠茶,靠茶,,靠茶
1912,礦翠,礦翠,,礦翠
1908,憶霖,憶霖,,憶霖
1907,健康力,健康力,,健康力
1903,台灣伊日,台灣伊日,,台灣伊日
1902,鬼洗,鬼洗,,鬼洗
1901,林鳳營簡單點優格,林鳳營簡單點優格,,林鳳營簡單點優格
1899,綠農,綠農,,綠農
1896,台鳳,台鳳,,台鳳
1895,稻田齒,稻田齒,,稻田齒
1892,萊克蒂,萊克蒂,,萊克蒂
1891,原辰,原辰,,原辰
1890,蓓芙妮,蓓芙妮,,蓓芙妮
1889,百翠氏,百翠氏,,百翠氏
1886,羊舍,羊舍,,羊舍
1947,醇養妍,醇養妍,,醇養妍
1882,鴻嘉源,鴻嘉源,,鴻嘉源
1948,江鳥咖啡,江鳥咖啡,,江鳥咖啡
1956,歐舒丹,歐舒丹,,歐舒丹
2034,080,,,080
2033,美寧,美寧,,美寧
2031,千山淨水,千山淨水,,千山淨水
2029,寶仕,寶仕,,寶仕
2028,全效,全效,,全效
2020,諾資,諾資,,諾資
2013,啡茶時刻,啡茶時刻,,啡茶時刻
2010,一來順,一來順,,一來順
2005,珊諾,珊諾,,珊諾
2002,康澤,康澤,,康澤
2000,澤井咖啡,澤井咖啡,,澤井咖啡
1998,李施德霖,李施德霖,,李施德霖
1997,廣吉,廣吉,,廣吉
1995,艾黎亞,艾黎亞,,艾黎亞
1994,凱飛,凱飛,,凱飛
1993,箭牌馬,箭牌馬,,箭牌馬
1990,茶尋味,茶尋味,,茶尋味
1988,睫老闆,睫老闆,,睫老闆
1987,宏醫生技,宏醫生技,,宏醫生技
1985,台酒生技,台酒生技,,台酒生技
1983,麗白,麗白,,麗白
1982,福樂低脂優酪,福樂低脂優酪,,福樂低脂優酪
1980,風格,風格,,風格
1976,鴻參,鴻參,,鴻參
1968,桔植坊,桔植坊,,桔植坊
1967,新花漾,新花漾,,新花漾
1959,屏科大,屏科大,,屏科大
1952,滴牌,滴牌,,滴牌
1880,情人娃娃,情人娃娃,,情人娃娃
1879,維力媽媽麵,維力媽媽麵,,維力媽媽麵
1878,謙謙創藝,謙謙創藝,,謙謙創藝
1770,36法郎,36法郎,,36法郎
1768,倍麗兒,倍麗兒,,倍麗兒
1756,北日本,北日本,,北日本
1751,衣桔棒,衣桔棒,,衣桔棒
1749,浪漫花語,浪漫花語,,浪漫花語
1747,麥維爾,麥維爾,,麥維爾
1746,威金森,威金森,,威金森
1745,艾詩,艾詩,,艾詩
1742,威客維,威客維,,威客維
1741,嵐閣,嵐閣,,嵐閣
1739,沛特斯,沛特斯,,沛特斯
1737,樂米亞,樂米亞,,樂米亞
1736,大食客,大食客,,大食客
1732,惠而浦,惠而浦,,惠而浦
1730,猛將,猛將,,猛將
1727,第一石鹼,第一石鹼,,第一石鹼
1722,柏尹芙,柏尹芙,,柏尹芙
1720,福樂鮮攪,福樂鮮攪,,福樂鮮攪
1716,義皇寶,義皇寶,,義皇寶
1715,優效紡,優效紡,,優效紡
1714,葉璐芝,葉璐芝,,葉璐芝
1710,康萃,康萃,,康萃
1708,麻膳堂,麻膳堂,,麻膳堂
1706,安加適,安加適,,安加適
1703,天霖純水,天霖純水,,天霖純水
1702,生活工場,生活工場,,生活工場
1701,古坑鄉農會,古坑鄉農會,,古坑鄉農會
1773,柳宗理,柳宗理,,柳宗理
1775,名山牌,名山牌,,名山牌
1777,小分子,小分子,,小分子
1779,歐斯恩,歐斯恩,,歐斯恩
1876,厝味,厝味,,厝味
1874,新豆族,新豆族,,新豆族
1871,御膳坊,御膳坊,,御膳坊
1870,蓮發,蓮發,,蓮發
1869,國農,國農,,國農
1864,日象,日象,,日象
1853,稻屋生機,稻屋生機,,稻屋生機
1848,白雪,白雪,,白雪
1846,碧而優,碧而優,,碧而優
1845,良將,良將,,良將
1840,正牛,正牛,,正牛
1838,寶多福,寶多福,,寶多福
1837,維他露,維他露,,維他露
2035,森歐黎漾,森歐黎漾,,森歐黎漾
1833,植妍房,植妍房,,植妍房
1825,全球寵物,全球寵物,,全球寵物
1823,金鹿,金鹿,,金鹿
1822,辣椒先生,辣椒先生,,辣椒先生
1814,鐵齒,鐵齒,,鐵齒
1812,新味,新味,,新味
1803,貓戀人,貓戀人,,貓戀人
1802,科德司,科德司,,科德司
1799,伊德爾,伊德爾,,伊德爾
1798,璞珞,璞珞,,璞珞
1788,優柏,優柏,,優柏
1784,茶之初,茶之初,,茶之初
1783,淨毒五郎,淨毒五郎,,淨毒五郎
1781,常春樂活,常春樂活,,常春樂活
1829,歐萊德,歐萊德,,歐萊德
1699,海吉尼斯,海吉尼斯,,海吉尼斯
2037,雙豪,雙豪,,雙豪
2047,雅保,雅保,,雅保
2354,潔倍,潔倍,,潔倍
2351,韓波俐,韓波俐,,韓波俐
2347,牧實,牧實,,牧實
2342,戀戀,戀戀,,戀戀
2336,舒澡,舒澡,,舒澡
2335,芙蘿娜,芙蘿娜,,芙蘿娜
2334,金車補給園,金車補給園,,金車補給園
2332,大醬,大醬,,大醬
2329,紅豆食府,紅豆食府,,紅豆食府
2316,美聯社,美聯社,,美聯社
2310,大河,大河,,大河
2308,自然派,自然派,,自然派
2303,咖啡綠商號,咖啡綠商號,,咖啡綠商號
2302,卡汶克萊,卡汶克萊,,卡汶克萊
2299,西妍院,西妍院,,西妍院
2297,川西,川西,,川西
2294,樂趣,樂趣,,樂趣
2292,樂亦康,樂亦康,,樂亦康
2291,沐潤,沐潤,,沐潤
2289,山多力,山多力,,山多力
2288,廚膳師,廚膳師,,廚膳師
2278,菇王,菇王,,菇王
2275,中深焙,中深焙,,中深焙
2269,美麗紀事,美麗紀事,,美麗紀事
2258,喜滿屋,喜滿屋,,喜滿屋
2256,爵士貓吧,爵士貓吧,,爵士貓吧
2253,晶鈺,晶鈺,,晶鈺
2355,靖,靖,,靖
2247,一品夫人,一品夫人,,一品夫人
2359,維大力,維大力,,維大力
2361,澤井,澤井,,澤井
2462,盛田,盛田,,盛田
2458,日虎,日虎,,日虎
2456,13章,13章,,13章
2452,優活力,優活力,,優活力
2451,夏士蓮,夏士蓮,,夏士蓮
2448,茱莉蔻,茱莉蔻,,茱莉蔻
2441,勁小子,勁小子,,勁小子
2432,小廚師,小廚師,,小廚師
2431,農會牌,農會牌,,農會牌
2429,怪獸部落,怪獸部落,,怪獸部落
2422,珂潤,珂潤,,珂潤
2418,潔芬,潔芬,,潔芬
2413,利捷維,利捷維,,利捷維
2412,利護樂,利護樂,,利護樂
2407,紅布朗,紅布朗,,紅布朗
2405,零零,,,零零
2403,詩柔,詩柔,,詩柔
2400,柑橘王子,柑橘王子,,柑橘王子
2393,杏輝醫藥,杏輝醫藥,,杏輝醫藥
2392,南王,南王,,南王
2391,咖啡廣場,咖啡廣場,,咖啡廣場
2384,安爽,安爽,,安爽
2382,山形,山形,,山形
2376,素天堂,素天堂,,素天堂
2375,賈羅公式,賈羅公式,,賈羅公式
2374,參天,參天,,參天
2365,鮮烘咖啡工作室,鮮烘咖啡工作室,,鮮烘咖啡工作室
2360,桃潤肌,桃潤肌,,桃潤肌
2246,台塑生醫,台塑生醫,,台塑生醫
2242,西螺大同,西螺大同,,西螺大同
2241,福華牌,福華牌,,福華牌
