,cleaned_brand,certain,sim
0,元山,"[('元山牌', 80)]","[('元山牌', 80), ('泰山', 50), ('雪山', 50), ('香山', 50), ('山森', 50), ('山水', 50), ('山崎', 50), ('東元', 50), ('山元', 50), ('山形', 50), ('元氣', 50), ('元歲', 50), ('豪山', 50), ('富山', 50), ('狀元', 50), ('武山', 50), ('丸山', 50), ('上元', 50)]"
1,姍拉娜,[],[]
2,台鹽,[],"[('台鹽生技', 67), ('台酒', 50), ('台啤', 50), ('台農', 50), ('臺鹽', 50), ('台畜', 50), ('台鳳', 50), ('台塑', 50), ('台麗', 50), ('台塩', 50)]"
3,neo-tec妮傲絲翠,[],"[('neostrata芯絲翠', 52), ('neocell妮兒', 50)]"
4,舒潔,[],"[('舒跑', 50), ('朵舒', 50), ('舒澡', 50), ('潔倍', 50), ('潔芬', 50), ('普潔', 50), ('亮潔', 50), ('舒珊', 50)]"
5,philips飛利浦,[],"[('philo飛樂', 59), ('hiles', 53), ('liphip', 50), ('shills', 50)]"
6,senka專科,[],"[('isana', 50), ('suuen', 50), ('nokia', 50), ('sentosa三多', 50), ('nakay', 50), ('sheba', 50), ('benks', 50), ('edeka', 50)]"
7,refine,[],"[('lirene', 67), ('fine color', 62), ('fresh line', 62), ('reise米膚', 62), ('enne', 60), ('rire', 60), ('create dentfine', 57), ('dr.shine', 57), ('carein康茵', 57), ('morelife', 57), ('bluepine', 57), ('care linkage', 56), ('gerolsteiner', 56), ('kirin', 55), ('ariel', 55), ('orion', 55), ('three', 55), ('intex', 55), ('ringo', 55)]"
8,fancl芳珂,"[('fancl', 83)]","[('fancl', 83), ('fantech', 57), ('face+', 55), ('fala', 55), ('sacla', 50), ('fasun', 50)]"
9,龜甲萬,[],[]
10,真爽,[],"[('安爽', 50), ('真愛', 50), ('良爽', 50), ('真鍋', 50), ('牧真', 50)]"
11,red bull紅牛,[],"[('red cow紅牛', 63), ('b.friend', 56), ('burge', 53), ('lilybyred', 53), ('beauty credit', 52), ('butler', 50), ('gulbirlik rose', 50)]"
12,理膚寶水,[],[]
13,光泉鮮乳,[],"[('光泉乳香世家', 60), ('高大鮮乳', 50), ('初鹿鮮乳', 50), ('光泉豆漿', 50), ('光泉頂級鮮奶優酪', 50)]"
14,i'm meme,[],"[('heme', 50), ('idee', 50)]"
15,味全簡單點,[],"[('味全', 57)]"
16,volvic富維克,[],"[('virbac維克', 59), ('viviscal維維絲', 50)]"
17,nivea妮維雅,[],"[('naive娜艾菩', 50)]"
