,brand_ch,brand_en,cleaned_brand,sim_ch,repeat
0,妮傲絲翠,neo-tec,neo-tec妮傲絲翠,[],0
1,飛利浦,philips,philips飛利浦,"[('飛利浦', 100)]",0
2,專科,senka,senka專科,"[('專科', 100)]",0
3,芳珂,fancl,fancl芳珂,[],0
4,紅牛,red bull,red bull紅牛,"[('紅牛', 100)]",1
5,富維克,volvic,volvic富維克,[],0
6,妮維雅,nivea,nivea妮維雅,[],0
7,獅王,lion,lion獅王,"[('獅王', 100)]",0
8,奇士美,kissme,kissme奇士美,[],0
9,珂潤,curel,curel珂潤,"[('珂潤', 100)]",0
10,莎娜,sana,sana莎娜,[],0
11,曼秀雷敦,mentholatum,mentholatum曼秀雷敦,[],0
12,萬能媽媽,wonder mama,wonder mama萬能媽媽,[],0
13,小蜜媞,carmex,carmex小蜜媞,[],0
14,蘋果,apple,apple蘋果,[],0
15,國際牌,panasonic,panasonic國際牌,"[('國際牌', 100)]",0
16,我的美麗日記,my beauty diary,my beauty diary我的美麗日記,[],0
17,艾森絲,essence cosmetics,essence cosmetics艾森絲,[],0
18,耐吉,nike,nike耐吉,[],0
19,歐蕾,olay,olay歐蕾,[],0
20,艾瑪花園,amma garden,amma garden艾瑪花園,"[('艾瑪花園', 100)]",0
21,藍帶廚坊,lcb,lcb藍帶廚坊,[],0
22,喜蜜,heme,heme喜蜜,[],0
23,東元,teco,teco東元,"[('東元', 100)]",0
24,媚點,media,media媚點,[],0
25,伊萊克斯,electrolux,electrolux伊萊克斯,"[('伊萊克斯', 100)]",0
26,小米,xiaomi,xiaomi小米,"[('小米', 100)]",0
27,特福,tefal,tefal特福,[],0
28,三星,samsung,samsung三星,[],0
29,露華濃,revlon,revlon露華濃,[],0
30,麗奇,reach,reach麗奇,"[('麗奇', 100)]",0
31,愛仕達,asd,asd愛仕達,[],0
32,華碩,asus,asus華碩,[],0
33,法國皇家,royal,royal法國皇家,[],0
34,愛迪達,adidas,adidas愛迪達,[],0
35,時尚美妝,meko,meko時尚美妝,[],0
36,華米,amazfit,amazfit華米,[],0
37,雪芙蘭,cellina,cellina雪芙蘭,"[('雪芙蘭', 100)]",0
38,悠斯晶,yuskin,yuskin悠斯晶,[],0
39,佳麗寶,kanebo,kanebo佳麗寶,[],0
40,維他露,p,p維他露,"[('維他露', 100)]",0
41,舒特膚,cetaphil,cetaphil舒特膚,"[('舒特膚', 100)]",0
42,雅漾,avene,avene雅漾,[],0
43,迪奧,dior,dior迪奧,[],0
44,優格,toma-pro,toma-pro優格,[],0
45,卓威,zowie,zowie卓威,[],0
46,鍋寶,cookpower,cookpower鍋寶,"[('鍋寶', 100)]",0
47,黑松,heysong,heysong黑松,"[('黑松', 100)]",0
48,蘭蔻,lancome,lancome蘭蔻,[],0
49,蜜妮,biore,biore蜜妮,"[('蜜妮', 100)]",0
50,葛莉思,greens,greens葛莉思,[],0
51,佳麗寶-開架式,kanebo,kanebo佳麗寶-開架式,[],0
52,海洋拉娜,la mer,la mer海洋拉娜,[],0
53,阿曼特,armonto,armonto阿曼特,[],0
54,奇可俏可,chic choc,chic choc奇可俏可,[],0
55,三詩達,sunstar,sunstar三詩達,"[('三詩達', 100)]",0
56,味味,a,a味味,[],0
57,潘婷,pantene,pantene潘婷,[],0
58,戴爾,dell,dell戴爾,[],0
59,妍霓絲,eileen grace,eileen grace妍霓絲,[],0
60,品木宣言,origins,origins品木宣言,[],0
61,明洞國際,mdmmd,mdmmd明洞國際,"[('明洞國際', 100)]",0
62,聰明狗糧,iq dog,iq dog聰明狗糧,[],0
63,渴望,orijen,orijen渴望,[],0
64,呂,ryo,ryo呂,[],0
65,貝膚黛瑪,bioderma,bioderma貝膚黛瑪,[],0
66,歐都納,atunas,atunas歐都納,[],0
67,理膚寶水,la roche posay,la roche posay理膚寶水,"[('理膚寶水', 100)]",0
68,契爾氏,kiehl's,kiehl's契爾氏,[],0
69,上山採藥,tsaio,tsaio上山採藥,"[('上山採藥', 100)]",0
70,羅技,logitech,logitech羅技,[],0
71,意高,ego,ego意高,[],0
72,水平衡,hydro balance,hydro balance水平衡,"[('水平衡', 100)]",0
73,聲寶,sampo,sampo聲寶,"[('聲寶', 100)]",0
74,艾惟諾,aveeno,aveeno艾惟諾,"[('艾惟諾', 100)]",0
75,蘇妮薩,sunisa,sunisa蘇妮薩,[],0
76,惜時,seeds,seeds惜時,[],0
77,日立,hitachi,hitachi日立,[],1
78,希爾思,hills,hills希爾思,[],0
79,媚比琳,maybelline,maybelline媚比琳,[],0
80,達特醫,dr.hsieh,dr.hsieh達特醫,[],0
81,阿加菲亞老奶奶,grandmother agafia,grandmother agafia阿加菲亞老奶奶,[],0
82,西莎,cesar,cesar西莎,[],0
83,禾聯,heran,heran禾聯,"[('禾聯', 100)]",0
84,台塑生醫,dr’s formula,dr’s formula台塑生醫,"[('台塑生醫', 100)]",1
85,佑天蘭,utena,utena佑天蘭,[],0
86,強品,chian pin,chian pin強品,[],0
87,美萃,mature,mature美萃,[],0
88,松木家電,matric,matric松木家電,[],0
89,象印,zojirushi,zojirushi象印,"[('象印', 100)]",0
