,brand_ch,brand_en,cleaned_brand,sim,certain,U
0,元山,,元山,"[('元山牌', 80), ('泰山', 50), ('雪山', 50), ('香山', 50), ('山森', 50), ('山水', 50), ('山崎', 50), ('東元', 50), ('山元', 50), ('山形', 50), ('元氣', 50), ('元歲', 50), ('豪山', 50), ('富山', 50), ('狀元', 50), ('武山', 50), ('丸山', 50), ('上元', 50)]","[('元山牌', 80)]",1
1,姍拉娜,,姍拉娜,[],[],0
2,台鹽,,台鹽,"[('台鹽生技', 67), ('台酒', 50), ('台啤', 50), ('台農', 50), ('臺鹽', 50), ('台畜', 50), ('台鳳', 50), ('台塑', 50), ('台麗', 50), ('台塩', 50)]",[],0
3,舒潔,,舒潔,"[('舒跑', 50), ('朵舒', 50), ('舒澡', 50), ('潔倍', 50), ('潔芬', 50), ('普潔', 50), ('亮潔', 50), ('舒珊', 50)]",[],0
4,龜甲萬,,龜甲萬,[],[],0
5,真爽,,真爽,"[('安爽', 50), ('真愛', 50), ('良爽', 50), ('真鍋', 50), ('牧真', 50)]",[],0
6,理膚寶水,,理膚寶水,[],[],0
7,光泉鮮乳,,光泉鮮乳,"[('光泉乳香世家', 60), ('高大鮮乳', 50), ('初鹿鮮乳', 50), ('光泉豆漿', 50), ('光泉頂級鮮奶優酪', 50)]",[],0
8,味全簡單點,,味全簡單點,"[('味全', 57)]",[],0
9,雪芙蘭,,雪芙蘭,[],[],0
10,黑人牙膏,,黑人牙膏,"[('黑人', 67)]",[],0
11,台酒,,台酒,"[('台灣啤酒', 67), ('台酒生技', 67), ('台鹽', 50), ('台啤', 50), ('台農', 50), ('台畜', 50), ('台鳳', 50), ('台塑', 50), ('台麗', 50), ('台塩', 50)]",[],0
12,味全,,味全,"[('味全萬丹', 67), ('味全簡單點', 57), ('味全林鳳營', 57), ('味丹', 50), ('味王', 50), ('新味', 50), ('厝味', 50), ('味榮', 50), ('全效', 50), ('鋒味', 50), ('和味', 50)]",[],0
13,刷樂,,刷樂,"[('樂邁', 50), ('福樂', 50), ('樂天', 50), ('樂金', 50), ('泡樂', 50), ('樂活', 50), ('美樂', 50), ('樂趣', 50)]",[],0
14,保力達,,保力達,[],[],0
15,牛頭牌,,牛頭牌,[],[],0
16,福樂一番鮮,,福樂一番鮮,"[('福樂鮮攪', 67), ('福樂', 57), ('鮮一番', 50)]",[],0
17,悅氏,,悅氏,"[('悅氏茶品', 67), ('名悅', 50)]",[],0
18,萬家香,,萬家香,[],[],0
19,高露潔,,高露潔,[],[],0
20,熊寶貝,,熊寶貝,"[('哄寶貝', 67), ('寶貝妮', 67), ('熊寶寶', 67), ('好寶貝', 67), ('彎彎寶貝', 57), ('吉尼寶貝', 57), ('寶貝餌子', 57)]",[],0
21,泰安,,泰安,"[('泰山', 50), ('安安', 50), ('安田', 50), ('安雅', 50), ('安親', 50), ('安爽', 50), ('誠泰', 50)]",[],0
22,澡享,,澡享,"[('舒澡', 50)]",[],0
23,白蘭氏,,白蘭氏,[],[],0
24,光泉乳香世家,,光泉乳香世家,"[('光泉鮮乳', 60)]",[],0
25,雀巢,,雀巢,[],[],0
26,原萃,,原萃,"[('康萃', 50), ('原辰', 50)]",[],0
27,雪坊,,雪坊,"[('雪山', 50), ('雷雪', 50), ('雪比', 50), ('白雪', 50)]",[],0
28,台啤,,台啤,"[('台灣啤酒', 67), ('台鹽', 50), ('台酒', 50), ('台農', 50), ('台畜', 50), ('台鳳', 50), ('台塑', 50), ('台麗', 50), ('台塩', 50)]",[],0
29,海倫仙度絲,,海倫仙度絲,[],[],0
30,嬌生,,嬌生,"[('優生', 50), ('新生', 50), ('生活', 50), ('民生', 50)]",[],0
31,和平,,和平,"[('和成', 50), ('和味', 50)]",[],0
32,統一陽光,,統一陽光,"[('統一', 67), ('統一瑞穗', 50), ('統一生機', 50)]",[],0
33,活力滋,,活力滋,"[('活力', 80), ('優活力', 67), ('活力廚坊', 57), ('活力廚房', 57), ('亞尼活力', 57)]","[('活力', 80)]",1
34,葡萄王,,葡萄王,[],[],0
35,星之冠,,星之冠,[],[],0
36,桂冠,,桂冠,"[('皇冠', 50), ('華冠', 50)]",[],0
37,阿薩姆,,阿薩姆,[],[],0
38,德恩奈,,德恩奈,[],[],0
39,康乃馨,,康乃馨,[],[],0
40,草繹,,草繹,[],[],0
41,七星,,七星,"[('七喜', 50), ('明星', 50)]",[],0
42,伯朗,,伯朗,"[('伯朗咖啡', 67), ('緹朗', 50), ('伯爵', 50)]",[],0
