,index,name,clean_name
0,0,元山熱水瓶ys-540ap,元山熱水瓶ys540ap
1,5,飛利浦全自動美式研磨咖啡機 型號:hd7761,飛利浦全自動美式研磨咖啡機 型號hd7
2,13,光泉1╱2加侖鮮乳,光泉1╱鮮乳
3,19,kissme花漾美姬瞬翹自然捲纖長防水睫毛膏-02玫瑰棕6g,kissme花漾美姬瞬翹自然捲纖長防水睫毛膏02玫瑰棕
4,29,【韓國wonder mama】黃金麥飯石鍋2代-灰金耐磨不沾湯鍋組28cm(含蓋),韓國wonder mama黃金麥飯石鍋2代灰金耐磨不沾湯鍋組含蓋
5,31,apple iphone 12 (256g)-綠色(mgjl3ta/a),apple iphone 12 綠色mgjl3taa
6,32,刷樂經典牙刷3+3[3+3支/組],刷樂經典牙刷3
7,33,panasonic 雙負離子吹風機 型號:eh-ne74-n,panasonic 雙負離子吹風機 型號ehne74n
8,38,111621789132 國際牌eh-na27-pp 奈米水離子折疊吹風機(粉,國際牌ehna27pp 奈米水離子折疊吹風機粉
9,43,cezanne 絲滑防曬蜜粉餅 385-00,cezanne 絲滑防曬蜜粉餅 385
10,45,eupa 紫外線殺菌烘碗機(雙層) 型號:tsi-tt2908,eupa 紫外線殺菌烘碗機雙層 型號tsitt2
11,49,iphone 12 mini red 64gb-twn,iphone 12 mini red btwn
12,52,apple iphone 12 pro max 256g,apple iphone 12 pro max
13,58,元山10人份電子鍋 型號:ys-5101rc,元山電子鍋 型號ys5101rc
14,59,heme 純色腮紅 - 11 sunset coral 55g,heme 純色腮紅  11 sunset coral
15,60,【東元】直立式吸塵器(xyfxj6033/xyfxj6032),東元直立式吸塵器xyfxj6033xyfxj6032
16,66,essence心機裸膚柔霧蜜粉10 6g,essence心機裸膚柔霧蜜粉10
17,72,essence 艾森絲 摩登9色眼影盤 兩款可選 蝦皮24h 現貨,essence 艾森絲 摩登9色眼影盤 兩款可選
18,73,【samsung 三星】galaxy a71 8g/128g 6.7吋八核心手機,samsung 三星galaxy a71  八核心手機
