,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
0,妮傲絲翠,neo-tec,neo-tec妮傲絲翠,[],0,[],0
1,飛利浦,philips,philips飛利浦,['飛利浦'],0,[],0
2,專科,senka,senka專科,['專科'],0,[],0
3,芳珂,fancl,fancl芳珂,[],0,"[('fancl', 100)]",0
4,紅牛,red bull,red bull紅牛,[],0,[],0
5,富維克,volvic,volvic富維克,[],0,[],0
6,妮維雅,nivea,nivea妮維雅,[],0,[],0
7,獅王,lion,lion獅王,['獅王'],0,[],0
8,奇士美,kissme,kissme奇士美,[],0,"[('kissme', 100), ('kiss', 80)]",0
9,珂潤,curel,curel珂潤,['珂潤'],0,"[('cure', 89)]",0
10,莎娜,sana,sana莎娜,[],0,"[('isana', 89)]",0
11,曼秀雷敦,mentholatum,mentholatum曼秀雷敦,[],0,[],0
12,萬能媽媽,wonder mama,wonder mama萬能媽媽,[],0,[],0
13,小蜜媞,carmex,carmex小蜜媞,[],0,"[('carome.', 83)]",0
14,蘋果,apple,apple蘋果,[],0,[],0
15,國際牌,panasonic,panasonic國際牌,['國際牌'],0,"[('panasonic', 100)]",0
16,我的美麗日記,my beauty diary,my beauty diary我的美麗日記,[],0,[],0
17,艾森絲,essence cosmetics,essence cosmetics艾森絲,[],0,[],0
18,耐吉,nike,nike耐吉,[],0,[],0
19,歐蕾,olay,olay歐蕾,[],0,[],0
20,艾瑪花園,amma garden,amma garden艾瑪花園,['艾瑪花園'],0,[],0
21,藍帶廚坊,lcb,lcb藍帶廚坊,[],0,"[('lb', 80)]",0
22,喜蜜,heme,heme喜蜜,[],0,"[('heme', 100)]",0
23,東元,teco,teco東元,['東元'],0,"[('tescom', 80)]",0
24,媚點,media,media媚點,[],0,"[('ediya', 80)]",0
25,伊萊克斯,electrolux,electrolux伊萊克斯,['伊萊克斯'],0,[],0
26,小米,xiaomi,xiaomi小米,['小米'],0,[],0
27,特福,tefal,tefal特福,[],0,[],1
28,三星,samsung,samsung三星,[],0,[],0
29,露華濃,revlon,revlon露華濃,[],0,[],0
30,麗奇,reach,reach麗奇,['麗奇'],0,[],0
31,愛仕達,asd,asd愛仕達,[],0,[],0
32,華碩,asus,asus華碩,[],0,[],0
33,法國皇家,royal,royal法國皇家,[],0,[],1
34,愛迪達,adidas,adidas愛迪達,[],0,"[('adidas', 100)]",0
35,時尚美妝,meko,meko時尚美妝,[],0,"[('melko', 89)]",0
36,華米,amazfit,amazfit華米,[],0,[],0
37,雪芙蘭,cellina,cellina雪芙蘭,['雪芙蘭'],0,[],0
38,悠斯晶,yuskin,yuskin悠斯晶,[],0,"[('duskin', 83)]",0
39,佳麗寶,kanebo,kanebo佳麗寶,[],0,[],1
40,維他露,p,p維他露,['維他露'],0,[],0
41,舒特膚,cetaphil,cetaphil舒特膚,['舒特膚'],0,[],0
42,雅漾,avene,avene雅漾,[],0,[],0
43,迪奧,dior,dior迪奧,[],0,"[('dior', 100)]",0
44,優格,toma-pro,toma-pro優格,[],0,[],0
45,卓威,zowie,zowie卓威,[],0,[],0
46,鍋寶,cookpower,cookpower鍋寶,['鍋寶'],0,[],0
47,黑松,heysong,heysong黑松,['黑松'],0,[],0
48,蘭蔻,lancome,lancome蘭蔻,[],0,[],0
49,蜜妮,biore,biore蜜妮,['蜜妮'],0,"[('biore', 100)]",0
50,葛莉思,greens,greens葛莉思,[],0,[],0
51,佳麗寶-開架式,kanebo,kanebo佳麗寶-開架式,[],0,[],1
