,brand_en,sim,cleaned_brand,certain,check
0,refine,"[('lirene', 67), ('fine color', 62), ('fresh line', 62), ('enne', 60), ('rire', 60), ('create dentfine', 57), ('dr.shine', 57), ('morelife', 57), ('bluepine', 57), ('care linkage', 56), ('gerolsteiner', 56), ('kirin', 55), ('ariel', 55), ('orion', 55), ('three', 55), ('intex', 55), ('ringo', 55), ('envin', 55), ('miine', 55)]",refine,[],0
1,i'm meme,"[('heme', 50), ('idee', 50)]",i'm meme,[],0
2,chicco,"[('ok choice', 67), ('maychic', 62), ('chacott', 62), ('chinook', 62), ('ciao', 60), ('vico', 60), ('hito', 60), ('champion', 57), ('cheerios', 57), ('nicoh', 55), ('filco', 55), ('cuoco', 55), ('citycolor', 53), ('dr.choice', 53), ('arctic', 50), ('yubico', 50), ('1st choice', 50), ('ciaoke', 50), ('icooby', 50)]",chicco,[],0
3,kirin,"[('kiki', 67), ('iris', 67), ('i-kirei', 67), ('orion', 60), ('sukin', 60), ('ringo', 60), ('kurun', 60), ('ikari', 60), ('a’kin', 60), ('miine', 60), ('refine', 55), ('garmin', 55), ('qidina', 55), ('duskin', 55), ('lirene', 55), ('jardin', 55), ('arlink', 55), ('akimia', 55), ('farlin', 55)]",kirin,[],0
4,cezanne,"[('enne', 73), ('ehrmann', 57), ('beanies', 57), ('coleman', 57), ('leanani', 57), ('create dentfine', 55), ('ange', 55), ('ocean spring', 53), ('new anna', 53), ('new beads', 50), ('melano cc', 50), ('envin', 50), ('center-in', 50), ('yankee candle', 50)]",cezanne,[],0
5,nailholic,"[('nailmatic', 67), ('foodaholic', 63), ('nacific', 62), ('panasonic', 56), ('palmolive', 56), ('dailix', 53), ('natice', 53), ('daisho', 53), ('healthlife', 53), ('snails', 53), ('ahc', 50), ('hoi', 50), ('saholea', 50), ('maychic', 50), ('bioliss', 50), ('aoc', 50), ('lunasol', 50), ('familia', 50), ('alovivi', 50)]",nailholic,[],0
6,eupa,"[('pupa', 75), ('elujai', 60), ('eva', 57), ('voluspa', 55), ('puma', 50), ('heum', 50), ('luna', 50), ('tepe', 50), ('d-up', 50), ('muva', 50), ('ogeu', 50), ('greenpan', 50), ('plas', 50), ('pola', 50), ('eufy', 50), ('anua', 50), ('evas', 50)]",eupa,[],0
7,sowa sowa,"[('soapspa', 62), ('sasa', 62), ('swanson', 62), ('okawa', 57), ('bowwow', 53), ('down power', 53), ('sang-a', 53), ('a star', 53), ('watsons', 50), ('joajota', 50), ('shower mate', 50), ('saholea', 50), ('so good', 50), ('soapmax', 50), ('a&w', 50), ('a+ power', 50), ('s&w', 50), ('washaml', 50)]",sowa sowa,[],0
8,champion,"[('amino', 62), ('capitano', 62), ('mizon', 62), ('chicco', 57), ('garmin', 57), ('sempio', 57), ('mihong', 57), ('cap', 55), ('mon', 55), ('alpecin', 53), ('calypso', 53), ('hanskin', 53), ('chacott', 53), ('thomson', 53), ('mount hagen', 53), ('amino mason', 53), ('chinook', 53), ('cj lion', 53), ('chin su', 53)]",champion,[],0
9,ocean spring,"[('one thing', 57), ('center-in', 57), ('peppa pig', 57), ('sang-a', 56), ('super love', 55), ('cosmic mansion', 54), ('cezanne', 53), ('hanskin', 53), ('darling', 53), ('forcans', 53), ('clair paris', 52), ('champion', 50), ('care linkage', 50), ('capitano', 50), ('dent-inn', 50)]",ocean spring,[],0
10,za,"[('ziaja', 57), ('zoeva', 57), ('azoma', 57), ('breeza', 50), ('jonzac', 50), ('zavida', 50), ('ak', 50)]",za,[],0
11,m.a.c,"[('a.h.c', 80), ('n.a.f', 60), ('ac makeup', 57), ('cama cafe', 57), ('mk lab', 55), ('abc', 50), ('ahc', 50), ('j.gasco', 50), ('g&m', 50), ('aoc', 50), ('ck n-95', 50), ('nac nac', 50), ('lac', 50), ('magicom', 50), ('a&w', 50), ('ace', 50), ('dear my', 50), ('pc park', 50), ('milk&co', 50)]",m.a.c,[],0
12,venus marble,"[('natures care', 58), ('s+miracle', 57), ('oven-baked', 55), ('st.malo', 53), (""men's biore"", 52), ('yves rocher', 52), ('avengers', 50), (""john's blend"", 50), ('merbliss', 50), ('mamalove', 50)]",venus marble,[],0
13,skechers,"[('cheers', 71), ('schesir', 67), ('mestemacher', 63), ('cheerios', 62), ('keychron', 62), ('cherry', 57), ('skater', 57), ('eclear', 57), ('ecover', 57), ('she', 55), ('userism', 53), ('cheersjelly', 53), ('thayers', 53), ('yves rocher', 53), ('chefrun', 53), ('converse', 50), ('the saem', 50), ('maycheer', 50), ('friskies', 50)]",skechers,[],0
14,ucc,"[('gucci', 75), ('tcc', 67), ('ufc', 67), ('cock', 57), ('vacci', 50), ('lucky', 50), ('cuoco', 50)]",ucc,[],0
15,lily&color,"[('fine color', 70), ('cover nail', 60), ('milk&co', 59), ('cily', 57), ('ecologic', 56), ('cc daily', 56), ('citycolor', 53), ('colourpop', 53), ('omory', 53), ('only good', 53), ('nail labo', 53), ('thai coco', 53), ('wooly', 53), ('color club', 50), ('t core', 50), ('clover', 50), ('icooby', 50), ('modori', 50)]",lily&color,[],0
16,gatsby,"[('oasy', 60), ('natureby', 57), ('matsukiyo', 53), ('ts', 50), ('beauty', 50), ('beautyeasy', 50), ('plants', 50)]",gatsby,[],0
17,gum,"[('g&m', 67), ('gourmia', 60), ('gourmet', 60), ('puma', 57), ('heum', 57), ('ogeu', 57), ('izumi', 50), ('gucci', 50), ('akuma', 50), ('goshu', 50), ('sigma', 50), ('osuma', 50)]",gum,[],0
18,dr.spa,"[('dr.satin', 71), ('dr.hows', 62), ('dr.jart+', 62), ('dermisa', 62), ('dr. skin', 62), ('d-up', 60), ('mr.smart', 57), ('dr.hsieh', 57), ('dr.shine', 57), ('dr.konopka’s', 56), ('fresa', 55), ('derma', 55), ('dr.vt', 55), ('farm stay', 53), ('dr pepper', 53), ('peach and', 53), ('super pad', 53), ('dermal', 50), ('super mild', 50)]",dr.spa,[],0
19,puma,"[('pupa', 75), ('akuma', 67), ('osuma', 67), ('parfum', 60), ('pureal', 60), ('gum', 57), ('optimum', 55), ('uniqman', 55), ('pascual', 55), ('soapmax', 55), ('gourmia', 55), ('van pur', 55), ('premiumcare', 53), ('eupa', 50), ('heum', 50), ('pure', 50), ('puku', 50), ('luna', 50), ('maro', 50)]",puma,[],0
