,brand_ch,certain,U
0,元山,['元山牌'],1
1,姍拉娜,[],0
2,台鹽,"['臺鹽', '台塩']",1
3,舒潔,[],0
4,龜甲萬,[],0
5,真爽,[],0
6,理膚寶水,[],0
7,雪芙蘭,[],0
8,台酒,[],0
9,味全,"['味全萬丹', '味全簡單點', '味全林鳳營', '林鳳營特濃優格', '林鳳營精品優格', '林鳳營簡單點優格']",1
10,刷樂,[],0
11,保力達,[],0
12,牛頭牌,[],0
13,萬家香,[],0
14,高露潔,[],0
15,熊寶貝,[],0
16,泰安,[],0
17,澡享,[],0
18,白蘭氏,[],0
19,雀巢,[],0
20,原萃,[],0
21,雪坊,[],0
22,台啤,['台灣啤酒'],1
23,海倫仙度絲,[],0
24,嬌生,[],0
25,和平,[],0
26,活力滋,[],0
27,葡萄王,[],0
28,星之冠,[],0
29,桂冠,[],0
30,阿薩姆,[],0
31,德恩奈,[],0
32,康乃馨,[],0
33,草繹,[],0
34,七星,[],0
35,伯朗,['伯朗咖啡'],1
36,白鴿,[],0
37,東成,[],0
38,依必朗,[],0
39,多喝水,[],0
40,南僑,[],0
41,愛爾曼,[],0
42,寶亨,[],0
43,聖佩黎洛,[],0
44,百威,[],0
45,佳士達,[],0
46,沙威隆,[],0
47,來復易,[],0
48,愛之味,[],0
49,馬爾斯,[],0
50,莎啦莎啦,[],0
51,雲斯頓,[],0
52,阿q桶麵,[],0
53,豆油伯,[],0
54,花香5,[],0
55,越南厚生,[],0
56,味味一品,[],0
57,森田藥粧,[],0
58,人生製藥,[],0
59,西雅圖,[],0
60,倍潔雅,[],0
61,克奈圃,[],0
62,大金,[],0
63,小米,[],0
64,優生,[],0
65,等等,[],0
66,萬達寬,[],0
67,海尼根,[],0
68,賈以食日,[],0
69,愛力根,[],0
70,湛盧,['湛盧咖啡'],1
71,滿漢大餐,[],0
72,純煉,[],0
73,春風,[],0
74,黑人,['黑人牙膏'],1
75,聲寶,[],0
76,岡本,[],0
77,日落恩賜,[],0
78,農心,[],0
79,喵洽普,[],0
80,義美,[],0
81,寶僑,[],0
82,我的心機,[],0
83,頂好,[],0
84,澎澎,[],0
85,龍鳳,[],0
86,奈森克林,[],0
87,米家,[],0
88,紅印,[],0
89,植享家,[],0
90,英泉,[],0
91,象印,[],0
92,康貝特,[],0
93,日清,[],0
94,瑞春,[],0
95,高慶泉,[],0
96,檜山坊,[],0
97,來一客,[],0
98,味丹,[],0
99,美粒果,[],0
100,勁威,[],0
101,好自在,[],0
102,賀壽,[],0
103,得意,[],0
104,蘋果西打,[],0
105,貝親,[],0
106,美琪,[],0
107,舒酸定,[],0
108,益喜氏,[],0
109,金絲頓,[],0
110,寶馬,[],0
111,馬玉山,[],0
112,獅王,[],0
113,天地合補,[],0
114,立得清,[],0
115,汪喵星球,[],0
116,老媽拌麵,[],0
117,舒跑,[],0
118,恩能康見,[],0
119,黑松,[],0
120,莊頭北,[],0
121,柔軟熊,[],0
122,純喫茶,[],0
123,寶路,[],0
124,泰山,[],0
125,大甲乾麵,[],0
126,三多,[],0
127,我的健康日記,[],0
128,尊爵,[],0
129,達新牌,[],0
130,優仕曼,[],0
131,莉薇特麗,[],0
132,哄寶貝,[],0
133,博士美,[],0
134,妙管家,[],0
135,大拇指,[],0
136,西湖市場,[],0
137,蒸鮮之味,[],0
138,艾瑪花園,[],0
139,大衛杜夫,[],0
140,旺得福,[],0
141,直覺,[],0
142,美島水肌,[],0
143,樂邁,[],0
144,韓國不倒翁,[],0
145,愛爾康,[],0
146,家樂福,[],0
147,金蘭,[],0
148,家福,[],0
149,赫而司,[],0
150,新生,[],0
151,丸金,[],0
152,尚朋堂,[],0
153,資生堂,[],0
154,大正,[],0
155,唯潔雅,[],0
156,麗仕,[],0
157,永信藥品,[],0
158,茶裏王,[],0
159,福樂,"['福樂鮮攪', '福樂一番鮮', '福樂自然零', '福樂頂級優酪', '福樂低脂優酪', '自然零']",1
160,千拌麵,[],0
161,貝恩,[],0
162,清淨海,[],0
163,虎牌,[],0
164,培恩,[],0
165,雪山,[],0
166,濱田,[],0
167,史邁爾,[],0
168,雲南白藥,[],0
169,多芬,[],0
170,澳潔蕬,[],0
171,屈臣氏,[],0
172,曾拌麵,[],0
173,御茶園,[],0
174,維力炸醬麵,[],0
175,脫普,[],0
176,麥迪森,[],0
177,冰火,[],0
178,倫敦登喜路,[],0
179,台鹽生技,[],0
180,芙夏妮,[],0
181,蘇菲,[],0
182,歌林,[],0
183,爵戀,[],0
184,大補帖,[],0
185,大家源,[],0
186,麵大師,[],0
187,白帥帥,[],0
188,施巴,[],0
189,台熱牌,[],0
190,卡夫亨氏,[],0
191,五月花,[],0
192,三詩達,[],0
193,四季,[],0
194,李錦記,[],0
195,日本石鹸,[],0
196,諾得,[],0
197,小獅王,['小獅王辛巴'],1
198,鍋寶,[],0
199,拜維佳,[],0
200,國際牌,['國際'],1
201,嚕啦啦,[],0
202,麥香,[],0
203,高地卡尼,[],0
204,維力原祖,[],0
205,沈杯杯,[],0
206,花王,['日本花王'],1
207,索樂生活,[],0
208,喜樂之泉,[],0
209,依洛嘉,[],0
210,立頓,[],0
211,加倍潔,[],0
212,日虹,['日虹牌'],1
213,馬修嚴選,[],0
214,樂天,[],0
215,古寶,['古寶無患子'],1
216,三得利,[],0
217,萊萃美,[],0
218,長壽,[],0
219,卜蜂,[],0
220,香山,[],0
221,好立善,[],0
222,山森,[],0
223,邁士,[],0
224,鷹記維他,[],0
225,白人,[],0
226,優活,[],0
227,冷泡茶,[],0
228,味王,['味王麵'],1
229,沛綠雅,[],0
230,落建,[],0
231,萬寶路,[],0
232,芊柔,[],0
233,無印良品,[],0
234,四葉,[],0
235,隨緣,[],0
236,生活,['愛生活'],1
237,橘子工坊,[],0
238,靠得住,[],0
239,石頭科技,[],0
240,淬釀,[],0
241,愛可妮,[],0
242,威德,[],0
243,享溫馨,[],0
244,阿舍食堂,[],0
245,健康廚房,[],0
246,相模,[],0
247,數位,[],0
248,熊野,[],0
249,飲冰室茶集,[],0
250,莫凡彼,[],0
251,安安,['小安安'],1
252,雷雪,[],0
253,舒味思,[],0
254,一匙靈,[],0
255,輕鬆小品,[],0
256,高大鮮乳,[],0
257,大乾麵,[],0
258,丸莊,[],0
259,風騰,[],0
260,采媚,[],0
261,小綠人,[],0
262,新樂園,[],0
263,禾護,[],0
264,大潤發,[],0
265,華佗,['華陀'],1
266,飛利浦,[],0
267,木槿花,[],0
268,極淨,['極淨適'],1
269,上山採藥,[],0
270,安田,[],0
271,御天犬,[],0
272,皇貓,[],0
273,統欣生技,['統欣生物科技'],1
274,開喜,[],0
275,享食尚,[],0
276,美則,[],0
277,東泉,[],0
278,信東生技,[],0
279,膜力美肌,[],0
280,老協珍,[],0
281,比菲多,"['比菲多質立', '比菲多優意思', '比菲多乳之初']",1
282,波爾,[],0
283,美吾髮,[],0
284,沙宣,[],0
285,三記,[],0
286,費拉拉,[],0
287,諾寶,[],0
288,維他麥,[],0
289,寶貝妮,[],0
290,拌天下,[],0
291,蓓比適,[],0
292,禾聯,[],0
293,午后時光,[],0
294,自然之綠,[],0
295,亞莉佳,[],0
296,日本獅王,['lion kirei-kirei日本獅王趣淨'],0
297,金色三麥,[],0
298,濃韻,[],0
299,摩爾思,[],0
300,晨捷,[],0
301,博士巧思,[],0
302,牛乳石鹼,[],0
303,拉麵道,[],0
304,新格,[],0
305,野獸叢林,[],0
306,金車柏克金,[],0
307,古道,[],0
308,松本清,[],0
309,巴洛亞,[],0
310,鮮一杯,[],0
311,嘉士伯,[],0
312,台農,"['台農崙背', '台農燕巢', '台農鮮乳廠', '農會牌']",1
313,齒妍堂,[],0
314,遊遍天下,[],0
315,可果美,[],0
316,完美安可,[],0
317,喜又美,[],0
318,孝親,[],0
319,京城之霜,[],0
320,七喜,[],0
321,東芝,[],0
322,淺利佐助商店,[],0
323,一家人,[],0
324,全健護,[],0
325,滿意寶寶,[],0
326,海之鮇,[],0
327,德拉美,[],0
328,水平衡,[],0
329,愛生活,['生活'],1
330,紅米,[],0
331,優先順,[],0
332,牛爾,[],0
333,工研,[],0
334,皇雀咖啡,[],0
335,快潔適,[],0
336,吶一口,[],0
337,蕾妮亞,[],0
338,橘平屋,[],0
339,科沃斯,[],0
340,喜多,[],0
341,雙響泡,[],0
342,滴露,[],0
343,蓓爾麗,[],0
344,富及第,[],0
345,素飄香,[],0
346,艾克博士,[],0
347,悅氏茶品,['悅氏'],1
348,達摩本草,[],0
349,木村,[],0
350,志斌,[],0
351,克補,[],0
352,惠騰,[],0
353,御鼎興,[],0
354,威瑪舒培,[],0
355,克菲爾,[],0
356,菲蘇德美,[],0
357,御衣坊,[],0
358,黑龍,[],0
359,娘家,[],0
360,日本味王,[],0
361,愛喜,[],0
362,金美克能,[],0
363,天文,[],0
364,包大人,[],0
365,原燒貓罐,[],0
366,紅茶花伝,[],0
367,味味麵,[],0
368,波力,[],0
369,善存,[],0
370,歐樂芬,[],0
371,必盛氏,[],0
372,太和殿,[],0
373,艾惟諾,[],0
374,天使娜拉,[],0
375,艾維特,[],0
376,茉莉茶園,[],0
377,摩斯,[],0
378,微舒打,[],0
379,露得清,[],0
380,慢熟,[],0
381,存元堂,[],0
382,山水,[],0
383,樂金,[],0
384,屏大,['屏科大'],1
385,御膳食堂,[],0
386,康是美,['康是美自有品牌'],1
387,小夫妻拌麵,[],0
388,愛買,[],0
389,藍寶,[],0
390,健安喜,[],0
391,日本三洋,[],0
392,王牌,[],0
393,安雅,[],0
394,植物的優,[],0
395,屏東監獄,[],0
396,添寧,[],0
397,優級首選加州鮮乳,[],0
398,肯尼士,[],0
399,烤一百,[],0
400,西北,[],0
401,星巴克,[],0
402,年方十八,[],0
403,白博士,[],0
404,無塵氏,[],0
405,華陀扶元堂,[],0
406,愛維他,[],0
407,卡旺,[],0
408,益妍莓后,[],0
409,新生活純鮮乳品,[],0
410,愛力,[],0
411,獅子寶寶,[],0
412,日田天領水,[],0
413,優佳麗,[],0
414,綠的,[],0
415,原木香,[],0
416,海昌,[],0
417,統一,"['統一陽光', '統一瑞穗', '統一蜜豆奶', '統一水果牛乳', '統一瑞穗極制', 'ab統一', 'lp33統一', 'petlife統一寶多福', 'dr.milker統一']",1
418,絲花,[],0
419,正康,[],0
420,黑船長,[],0
421,舒益優,[],0
422,韓味不二,[],0
423,埔里,[],0
424,楓康,[],0
425,食芋堂,[],0
426,夏普,[],0
427,雲谷,[],0
428,詩丹雅蘭,[],0
429,庵古坑,[],0
430,多哥,[],0
431,多立康,[],0
432,黑惡魔,[],0
433,可爾必思,[],0
434,網狐家居,[],0
435,萃樂口,[],0
436,上豪,[],0
437,因特力淨,[],0
438,波斯優格,[],0
439,雷峰,[],0
440,威仕,[],0
441,雞老大,[],0
442,美味關係,[],0
443,韓廚,[],0
444,森潤,[],0
445,玩美日記,[],0
446,優兒康,[],0
447,友情牌,[],0
448,寶島,[],0
449,台灣清香號,[],0
450,喜特麗,[],0
451,金龍,[],0
452,倍爾康,[],0
453,栢歐康,[],0
454,水事紀,[],0
455,九華山,[],0
456,寶酒造,[],0
457,金岡,[],0
458,維斯塔,[],0
459,建銓,[],0
460,11益生菌,[],0
461,正官庄,[],0
462,泡樂,[],0
463,松山油脂,[],0
464,吉蒸,[],0
465,養樂多,[],0
466,大丈夫,[],0
467,叡頌,[],0
468,京紅,[],0
469,寧記,[],0
470,阿華田,[],0
471,耕心田,[],0
472,歐力婕,[],0
473,真柑淨,[],0
474,專科,[],0
475,農純鄉,[],0
476,檸檬堂,[],0
477,皇冠,[],0
478,新普利,[],0
479,歐芮坦,[],0
480,活沛多,[],0
481,一風堂,[],0
482,明治,[],0
483,酷椰嶼,[],0
484,大隱珈琲,[],0
