,brand_en,certain,check
0,refine,[],0
1,i'm meme,[],0
2,chicco,[],0
3,kirin,[],0
4,cezanne,[],0
5,nailholic,[],0
6,eupa,[],0
7,sowa sowa,[],0
8,champion,[],0
9,ocean spring,[],0
10,za,[],0
11,m.a.c,[],0
12,venus marble,[],0
13,skechers,[],0
14,ucc,[],0
15,lily&color,[],0
16,gatsby,[],0
17,gum,[],0
18,dr.spa,[],0
19,puma,[],0
20,e-books,[],0
21,califia farms,[],0
22,superfiber,[],0
23,watsons,[],0
24,milani,[],0
25,cheers,[],0
26,botanist,[],0
27,k-palette,[],0
28,go!,[],0
29,adidas,[],0
30,illy,[],0
31,bondi wash,[],0
32,dhc,[],0
33,s+miracle,[],0
34,biore,[],0
35,chifure,[],0
36,madam jan’s,[],0
37,artis di voce,[],0
38,parrs,[],0
39,new balance,[],0
40,kitchenaid,[],0
41,john masters organics,[],0
42,hair recipe,[],0
43,rasto,[],0
44,under armour,[],0
45,bhk’s,[],0
46,color club,[],0
47,dejavu,[],0
48,reebok,[],0
49,dr.hows,[],0
50,abc,[],0
51,realme,[],0
52,tcl,[],0
53,ariel,[],0
54,converse,[],0
55,sillymann,[],0
56,on the body,[],0
57,black monster,['blackmonster'],1
58,ardell,[],0
59,carome.,[],0
60,the saem,[],0
61,excel,[],0
62,sour3,[],0
63,eva,[],0
64,bcl,[],0
65,avalon,[],0
66,nars,[],0
67,more,[],0
68,poppop,[],0
69,winmax,[],0
70,4u2,[],0
71,make up for ever,[],0
72,wild calling,[],0
73,kumnong,[],0
74,orion,[],0
75,loshi,[],0
76,k-swiss,[],0
77,mk lab,[],0
78,heme,[],0
79,oxy,[],0
80,aronyx,[],0
81,algemarin,[],0
82,powerbomb,[],0
83,alpecin,[],0
84,dashing diva,[],0
85,soto,[],0
86,jacks,[],0
87,yebisu,[],0
88,missha,[],0
89,a.h.c,[],0
90,visee,[],0
91,arctic,[],0
92,doutor,[],0
93,switch,[],0
94,t core,[],0
95,ahc,[],0
96,argelan,[],0
97,amida,[],0
98,tom ford,[],0
99,farm stay,[],0
100,lotto,[],0
101,uno,[],0
102,ciao,[],0
103,unlabel,[],0
104,h2o,[],0
105,unny club,[],0
106,dyson,[],0
107,asahi,[],0
108,crest,[],0
109,lb,[],0
110,cnp laboratory,[],0
111,esfolio,[],0
112,fila,[],0
113,haglofs,[],0
114,age20's,[],0
115,yeaster,[],0
116,natures care,[],0
117,glinter,[],0
118,aibo,[],0
119,robert timms,[],0
120,happycall,[],0
121,kangaroos,[],0
122,viridis virus,[],0
123,garmin,[],0
124,etude house,[],0
125,ozawakei,[],0
126,too cool for school,[],0
127,sweets sweets,[],0
128,e-power,[],0
129,bloody,[],0
130,haken,[],0
131,gold suite,[],0
132,glysomed,[],0
133,ronever,[],0
134,the ordinary,[],0
135,jmsolution,[],0
136,vt cica,[],0
137,honeysuckle,[],0
138,doggyman,[],0
139,hoi,[],0
140,wadakan,[],0
141,r.q.polo,[],0
142,lacroix,[],0
143,vivo,[],0
144,eunyul,[],0
145,goodies,[],0
146,mr&miss,[],0
147,lechat,[],0
148,unt,[],0
149,yamaki,[],0
150,oppo,[],0
151,key coffee,[],0
152,j-lin,[],0
153,tescom,[],0
154,flexin,[],0
155,jo malone,[],0
156,foramen,[],0
157,tgc,[],0
158,udilife,[],0
159,calypso,[],0
160,velcos,[],0
161,3m,[],0
162,rosy rosa,[],0
163,atake,[],0
164,pony,[],0
165,dr.jart+,[],0
166,de buyer,[],0
167,heum,[],0
168,aroma zone,[],0
169,pupa,[],0
170,kent,[],0
171,osim,[],0
172,opera,[],0
173,sole,[],0
174,kissdiamond,[],0
175,uzu,[],0
176,collagen by watsons,[],0
177,catfeet,[],0
178,enne,[],0
179,dr.satin,[],0
180,vt cosmetics,['vt cosmetics x bt21'],1
181,bladez,[],0
