,Unnamed: 0,index,name,clean_name
0,0,13,(r)e視界-50點眼液,re視界50點眼液
1,1,18,!b-e視界-50點眼液,e視界50點眼液
2,2,69,r新一點靈b12滴眼液15ml-薄荷加量,r新一點靈b12滴眼液薄荷加量
3,3,83,海滴人工淚液 1.4 10ml(otc),海滴人工淚液 14 otc
4,4,94,目立康護理液250ml*2+目立康去蛋白*1+愛力根潤濕液1瓶~贈去蛋白盒*1.8字水盒x1,目立康護理液目立康去蛋白愛力根潤濕液贈去蛋白盒8字水盒
5,5,97,e視界-50點眼液15ml,e視界50點眼液
6,6,99,新鮮視e視界-50點眼液15ml,新鮮視e視界50點眼液
7,7,121,7-select串烤彈珠蒜味香腸,7select串烤彈珠蒜味香腸
8,8,233,a滿漢嘟嘟好小香腸(4℃/57g),a滿漢嘟嘟好小香腸4℃
9,9,335,1a(春)高梁酒香腸(香腸世家),1a春高梁酒香腸香腸世家
10,10,466,cosrx 95%覆膜酵母嫩白精華 韓版青春露神仙水 韓國大叔 亮白精華100ml galactomyces95tone,cosrx 覆膜酵母嫩白精華 韓版青春露神仙水 韓國大叔 亮白精華 galactomyces95tone
11,11,495,0wa7modr.weil青春無敵光潤機能水,0waodrweil青春無敵光潤機能水
12,12,500,6h 玻尿酸 肌潤化粧水,6h 玻尿酸 肌潤化粧水
13,13,503,【美容原液】5倍玻尿酸超潤化妝水185ml,美容原液5倍玻尿酸超潤化妝水
14,14,523,薇佳 微晶3d全能化妝水200,薇佳 微晶3d全能化妝水
15,15,525,【kiehls契爾氏】金盞花植物精華化妝水 #2020新年版 500ml,kiehls契爾氏金盞花植物精華化妝水 2020新年版
16,16,533,【line瘋搶$169】日本 imju 薏仁清潤化妝水 500ml,line瘋搶169日本 imju 薏仁清潤化妝水
17,17,534,cr_botanical_1st高保濕化妝水400ml,crbotanical1st高保濕化妝水
18,18,539,ahc瞬效保濕b5微導化妝水140ml,ahc瞬效保濕b5微導化妝水
19,19,548,【kiehl’s 契爾氏】金盞花植物精華化妝水250ml(2020聖誕限量版)(★聖誕交換禮物首選★),kiehl’s 契爾氏金盞花植物精華化妝水2020聖誕限量版聖誕交換禮物首選
20,20,559,韓國 ahc 玻尿酸保濕化妝水100ml 神仙水【23639】,韓國 ahc 玻尿酸保濕化妝水 神仙水23639
21,21,587,ahc 瞬效保濕b5化妝水 120ml,ahc 瞬效保濕b5化妝水
22,22,619,【ahc】瞬效保濕b5微導 化妝水 140ml,ahc瞬效保濕b5微導 化妝水
23,23,645,【李拉拉美妝】sk-ii/sk2 亮采化妝水160ml【正貨】,李拉拉美妝skiisk2 亮采化妝水正貨
24,24,755,【肌研】極潤保濕化妝水 400ml *3(開架銷售no.1  人氣最高),肌研極潤保濕化妝水  開架銷售no1  人氣最高
25,25,762,韓國 ahc 玻尿酸精華化妝水(神仙水) 2020年新包裝 100ml 【韓秀姬】,韓國 ahc 玻尿酸精華化妝水神仙水 2020年新包裝  韓秀姬
26,26,770,ahc 瞬效保濕b5微導化妝水 140ml,ahc 瞬效保濕b5微導化妝水
27,27,799,【即期品】haba 無添加主義 保濕滲透機能水(20ml*10),即期品haba 無添加主義 保濕滲透機能水0
28,28,808,aloins 雅洛茵斯 日本蜂蜜膠原蛋白3合1化妝水200ml / 日本蜂蜜膠原蛋白去角質化妝水200ml,aloins 雅洛茵斯 日本蜂蜜膠原蛋白3合1化妝水  日本蜂蜜膠原蛋白去角質化妝水
29,29,837,薇佳 微晶3d全能化妝水30ml(vitabtech升級版)  熊果素 美白 保濕 舒緩 旅遊必備,薇佳 微晶3d全能化妝水vitabtech升級版  熊果素 美白 保濕 舒緩 旅遊必備
30,30,849,【美美購】開發票 2019年新品 dr.wu 玻尿酸保濕精華化妝水 150ml  有雷射標籤 玻尿酸保濕化妝水 達爾膚,美美購開發票 2019年新品 drwu 玻尿酸保濕精華化妝水   有雷射標籤 玻尿酸保濕化妝水 達爾膚
31,31,874,ahc 瞬效保濕b5微導 化妝水 140ml原廠直營,ahc 瞬效保濕b5微導 化妝水 原廠直營
32,32,876,swissvita薇佳 微晶3d全能化妝水(vitabtech升級版)200ml【康是美】[買1送1][下單1出貨2],swissvita薇佳 微晶3d全能化妝水vitabtech升級版康是美12
33,33,938,aronyx~ph5.5玻尿酸美白抗皺保濕化妝水500ml,aronyxph55玻尿酸美白抗皺保濕化妝水
34,34,955,paltac sana13sana濃潤豆乳美肌化妝水 200ml,paltac sana13sana濃潤豆乳美肌化妝水
35,35,990,ahc 瞬效保濕b5微導 化妝水 140ml,ahc 瞬效保濕b5微導 化妝水
36,36,1022,薇佳微晶3d全能化妝水30ml(vitabtech升級,薇佳微晶3d全能化妝水vitabtech升級
37,37,1072,isntree 3重玻尿酸化妝水 5重玻尿酸化妝水 20ml 微分子透明質酸化妝水 化妝水【正品現貨】【蕾泰勒】,isntree 3重玻尿酸化妝水 5重玻尿酸化妝水  微分子透明質酸化妝水 化妝水正品蕾泰勒
38,38,1119,韓國正品 ahc 神仙水 b5透明質酸/ 玻尿酸 化妝水1000ml【dt store】【0017291】,韓國正品 ahc 神仙水 b5透明質酸 玻尿酸 化妝水dt store
39,39,1130,逆轉神仙水 bb 3%維他命b5 積雪草鎮靜修護化妝水 100ml,逆轉神仙水 bb 維他命b5 積雪草鎮靜修護化妝水
40,40,1148,★lulucat★neogence霓淨思 玻尿酸保濕化妝水 200ml (new!!2017改版新上市!!),lulucatneogence霓淨思 玻尿酸保濕化妝水  new2017改版新上市
41,41,1152,【kiehl’s 契爾氏】金盞花植物精華化妝水250ml(2020聖誕限量版),kiehl’s 契爾氏金盞花植物精華化妝水2020聖誕限量版
42,42,1173,伊芮-6h 玻尿酸肌潤化粧水,伊芮6h 玻尿酸肌潤化粧水
43,43,1187,植萃肌鑰 92% 活膚絲瓜水 30ml 【32182】,植萃肌鑰  活膚絲瓜水  32182
44,44,1232,paltac sana13sana豆乳美肌化妝水200ml,paltac sana13sana豆乳美肌化妝水
45,45,1264,薇佳微晶3d全能化妝水200ml(vitabtech,薇佳微晶3d全能化妝水vitabtech
46,46,1281,韓國2080 喜馬拉雅玫瑰水晶鹽牙膏160g【美日多多】,韓國2080 喜馬拉雅玫瑰水晶鹽牙膏美日多多
47,47,1282,㊣100%保證㊣24k黃金煙酰胺爽膚水 化妝水 妝前水,保證24k黃金煙酰胺爽膚水 化妝水 妝前水
48,48,1285,代收代付 - 【salomon 法國】女 xa pro 3d v8 gtx健野鞋『黑/黑/幻灰』41, salomon 法國女 xa pro 3d vtx健野鞋黑黑幻灰
49,49,1305,(w店)57宏裕行 頂級花枝漿組合,w店57宏裕行 頂級花枝漿組合
50,50,1333,【鮮食家任選799】創鮮家fc 花枝漿(300g/包),鮮食家799創鮮家fc 花枝漿
51,51,1366,桂冠 12 蝦餃 120g,桂冠 12 蝦餃
52,52,1369,(他)57宏裕行 頂級花枝漿組合,他57宏裕行 頂級花枝漿組合
53,53,1372,01鮮魚餃,01鮮魚餃
54,54,1382,【鮮食家任選799】南門市場逸湘齋fc 手工蛋餃(180g/份),鮮食家799南門市場逸湘齋fc 手工蛋餃份
55,55,1392,17鮮魚餃/套,17鮮魚餃套
56,56,1462,單9馳名鮮蝦餃,單9馳名鮮蝦餃
57,57,1491,桂冠 12 魚餃 108g,桂冠 12 魚餃
58,58,1527,(原)57宏裕行 頂級花枝漿組合,原57宏裕行 頂級花枝漿組合
59,59,1583,貝親矽膠護層寬口玻璃彩繪奶瓶240樹,貝親矽膠護層寬口玻璃彩繪奶瓶240樹
60,60,1584,【pigeon 貝親】寬口母乳實感玻璃奶瓶240ml(4色),pigeon 貝親寬口母乳實感玻璃奶瓶4色
61,61,1589,philips avent 親乳感pp防脹氣奶瓶125ml 雙入組 (奶嘴0月+) scf690/23,philips avent 親乳感pp防脹氣奶瓶 雙入組 奶嘴0月 scf690
62,62,1597,小獅王辛巴 蘿蔓晶鑽寬口玻璃奶瓶大套組(4大2小),小獅王辛巴 蘿蔓晶鑽寬口玻璃奶瓶大套組4大2小
63,63,1601,【simba 小獅王辛巴】桃樂絲ppsu寬口奶瓶經濟組(2中1小),simba 小獅王辛巴桃樂絲ppsu寬口奶瓶經濟組2中1小
64,64,1602,!b-mammy-母感2.0ppsu奶瓶-寬口200ml-藍,mammy母感20ppsu奶瓶寬口藍
65,65,1608,小獅王辛巴ppsu寬口雙凹中奶瓶270ml s6162,小獅王辛巴ppsu寬口雙凹中奶瓶 s6
66,66,1611,優生真母感玻璃奶瓶(寬口240)2入特,優生真母感玻璃奶瓶寬口240特
67,67,1615,貝親寬口母感ppsu奶瓶160-,貝親寬口母感ppsu奶瓶160
68,68,1619,【媽咪小站】母感體驗2.0-ppsu寬口奶瓶-杏桃粉(200ml),媽咪小站母感體驗20ppsu寬口奶瓶杏桃粉
69,69,1625,【pigeon 貝親】母乳實感寬口玻璃奶瓶160ml ╳2(貝親娃娃城ppsu奶瓶寬口徑新天使藍baby blue生兒玻璃奶瓶),pigeon 貝親母乳實感寬口玻璃奶瓶 2貝親娃娃城ppsu奶瓶寬口徑新天使藍baby blue生兒玻璃奶瓶
70,70,1635,貝親寬口母感ppsu奶瓶240-,貝親寬口母感ppsu奶瓶240
71,71,1650,【媽咪小站】母感體驗2.0-寬口玻璃奶瓶3支組(240ml),媽咪小站母感體驗20寬口玻璃奶瓶組
72,72,1651,【simba 小獅王辛巴】蘿蔓晶鑽寬口玻璃奶瓶大套組(4大2小),simba 小獅王辛巴蘿蔓晶鑽寬口玻璃奶瓶大套組4大2小
73,73,1662,philips avent親乳感玻璃防脹氣奶瓶-240ml 單入(奶嘴1月+)  scf673/13,philips avent親乳感玻璃防脹氣奶瓶 單入奶嘴1月  scf673
74,74,1668,現貨 媽咪小站 mammyshop 母感體驗2.0 玻璃奶瓶 寬口 標準 防脹氣奶瓶【b12002】,媽咪小站 mammyshop 母感體驗20 玻璃奶瓶 寬口 標準 防脹氣奶瓶b12002
75,75,1683,ku5847寬口奶瓶,ku5847寬口奶瓶
76,76,1685,【philips avent】親乳感玻璃防脹氣奶瓶 120ml(scf671/13),philips avent親乳感玻璃防脹氣奶瓶 scf67113
77,77,1691,小獅王ppsu 自動把手寬口雙凹中奶瓶270ml s6163,小獅王ppsu 自動把手寬口雙凹中奶瓶 s6
78,78,1695,【simba 小獅王辛巴】桃樂絲ppsu寬口奶瓶大套組(4中2小),simba 小獅王辛巴桃樂絲ppsu寬口奶瓶大套組4中2小
79,79,1696,【simba 小獅王辛巴】蘿蔓晶鑽寬口玻璃奶瓶超值組(2大2小),simba 小獅王辛巴蘿蔓晶鑽寬口玻璃奶瓶超值組2大2小
80,80,1704,代收代付 - chicco-perfect 5-完美防脹pp奶瓶150ml(小單孔)-自然率性, chiccoperfect 5完美防脹pp奶瓶小單孔自然率性
81,81,1710,【pigeon 貝親】寬口母乳實感ppsu奶瓶160ml/p00458(橘),pigeon 貝親寬口母乳實感ppsu奶瓶p00458橘
82,82,1711,黃色小鴨晶鑽玻璃奶瓶140c,黃色小鴨晶鑽玻璃奶瓶140c
83,83,1720,小獅王辛巴 桃樂絲ppsu自動把手寬口雙凹中奶瓶270ml  自動吸管360度吸吮 s61630 horace,小獅王辛巴 桃樂絲ppsu自動把手寬口雙凹中奶瓶  自動吸管360度吸吮 s61630 horace
84,84,1722,【pigeon 貝親】迪士尼寬口玻璃奶瓶-米奇/維尼/杯麵-160ml(迪士尼玻璃奶瓶240、160ml貝親),pigeon 貝親迪士尼寬口玻璃奶瓶米奇維尼杯麵迪士尼玻璃奶瓶240、貝親
85,85,1729,【pigeon 貝親】寬口母乳實感ppsu奶瓶160ml(4色),pigeon 貝親寬口母乳實感ppsu奶瓶4色
86,86,1743,優生真母感玻璃奶瓶(一般240)2入特,優生真母感玻璃奶瓶一般240特
87,87,1747,【媽咪小站】母感體驗2.0-ppsu寬口奶瓶3支組(250ml),媽咪小站母感體驗20ppsu寬口奶瓶組
88,88,1754,小獅王辛巴 桃樂絲ppsu寬口葫蘆奶瓶大套組(4中2小),小獅王辛巴 桃樂絲ppsu寬口葫蘆奶瓶大套組4中2小
89,89,1757,日本 dr. betta 防脹氣奶瓶(ppsu) jewel s1-240ml(4色可選)【總代理公司貨】,日本 dr betta 防脹氣奶瓶ppsu jewel s14色可選總代理公司貨
90,90,1759,!b-mammy-母感2.0玻璃奶瓶-寬口240ml-綠,mammy母感20玻璃奶瓶寬口綠
91,91,1764,喜多pp奶瓶(一般直筒s120)2入-新,喜多pp奶瓶一般直筒s120新
92,92,1766,【pigeon 貝親】寬口母乳實感玻璃奶瓶160ml(4色),pigeon 貝親寬口母乳實感玻璃奶瓶4色
93,93,1768,貝親矽膠護層寬口玻璃彩繪奶瓶240水果,貝親矽膠護層寬口玻璃彩繪奶瓶240水果
94,94,1772,貝瑞克寬口ppsu奶瓶 s-160ml (0-3m),貝瑞克寬口ppsu奶瓶 s 0
95,95,1775,【philips avent】親乳感玻璃防脹氣奶瓶 240ml(scf673/13),philips avent親乳感玻璃防脹氣奶瓶 scf67313
96,96,1778,小獅王ppsu寬口葫蘆大奶瓶360ml s6173,小獅王ppsu寬口葫蘆大奶瓶 s6
97,97,1781,媽咪小站母感體驗2.0 ppsu寬口奶瓶,媽咪小站母感體驗20 ppsu寬口奶瓶
98,98,1790,chicco-perfect 5-完美防脹pp奶瓶240ml(中等流量)-3款-帥氣男孩,chiccoperfect 5完美防脹pp奶瓶中等流量帥氣男孩
99,99,1801,日本《pigeon 貝親》迪士尼寬口玻璃3大2小奶瓶組(顏色隨機),日本pigeon 貝親迪士尼寬口玻璃3大2小奶瓶組顏色隨機
100,100,1809,【麗嬰房】媽咪小站 母感體驗2.0 玻璃奶瓶-寬口240ml (2色可選)-櫻花粉,麗嬰房媽咪小站 母感體驗20 玻璃奶瓶寬口 2色可選櫻花粉
101,101,1814,新彩虹巧拼墊60*60cm(4入),新彩虹巧拼墊60
102,102,1815,臻愛巧拼30*30cm(9入),臻愛巧拼30
103,103,1821,log樂格 xpe環保無毒巧拼地墊x10片組-森林大象 (每片30x30cmx厚2cm),log樂格 xpe環保無毒巧拼地墊組森林大象 每片30xx厚
104,104,1829,【pato pato】嬰幼兒巧拼地墊64x64x2cm雙色地墊 - 淺粉&天藍,pato pato嬰幼兒巧拼地墊644x雙色地墊  淺粉天藍
105,105,1830,n011809020peachy life 淺色柔和30cm安全地墊/巧拼地墊(10入一組)(4色可選)米白,npeachy life 淺色柔和安全地墊巧拼地墊一組4色可選米白
106,106,1832,人因 md1050dw  dreamquad 10.1 吋四核心平板電腦,人因 md1050dw  dreamquad 101 吋四核心平板電腦
107,107,1833,apple ipad mini5 wifi 64gb (2019),apple ipad mini5 wifi b 2019
108,108,1834,samsung galaxy tab s6 lite 4g/,samsung galaxy tab s6 lite 
109,109,1835,(福利品) samsung galaxy tab a 10.1 (wi-fi) t510 - 黑色,福利品 samsung galaxy tab a 101 wifi t510  黑色
110,110,1836,三星 tab s6 lite p610 wi-fi 藍,三星 tab s6 lite p610 wifi 藍
111,111,1837,【apple 蘋果】2020 ipad air 4 平板電腦(10.9吋/wifi/256g),apple 蘋果2020 ipad air 4 平板電腦wifi
112,112,1838,samsung galaxy tab a7 t500 3g/32g wifi版 八核心 10.4吋 平板電腦,samsung galaxy tab a7 t500  wifi版 八核心  平板電腦
113,113,1839,【samsung 三星】galaxy tab a 8吋 2019 平板電腦(t295/lte/32g),samsung 三星galaxy tab a  2019 平板電腦t295lte
114,114,1840,三折防摔殼+鋼化保貼組【apple 蘋果】2020 ipad pro 11吋 第2代 平板電腦(wifi/256g),三折防摔殼鋼化保貼組apple 蘋果2020 ipad pro  第2代 平板電腦wifi
115,115,1841,samsung galaxy tab a7 sm-t500 10.4吋平板 wifi (3g/64g),samsung galaxy tab a7 smt500 平板 wifi 
116,116,1842,apple ipad lte 10.2吋128gb(2019)平板電腦,apple ipad lte b2019平板電腦
117,117,1843,apple ipad 10.2 wi-fi (2020),apple ipad 102 wifi 2020
118,118,1844,【wiz】wiz arc 8  3+32g  4g平板,wizwiz arc 8  3  平板
119,119,1845,110279306rb8 微軟 surface go2 (p/4g/64g) 白金,rb8 微軟 surface go2 p 白金
120,120,1846,samsung galaxy tab a 2019 8吋平板 t295 (lte/32g)-銀色,samsung galaxy tab a 2019 平板 t295 lte銀色
121,121,1847,【apple 蘋果】ipad pro 11 2nd 平板電腦(256gb wifi),apple 蘋果ipad pro 11 2nd 平板電腦b wifi
122,122,1848,【apple 蘋果】福利品 ipad pro 11吋 wi-fi 64gb 平板電腦(a1980),apple 蘋果福利品 ipad pro  wifi b 平板電腦a1980
123,123,1849,samsung tab s6 lite lte (新潮藍),samsung tab s6 lite lte 新潮藍
124,124,1850,【apple 蘋果】ipad pro 11 2nd 平板電腦(128gb wifi),apple 蘋果ipad pro 11 2nd 平板電腦b wifi
125,125,1851,samsung galaxy tab a7 sm-t500 10.4吋平板 wifi (3g/32g),samsung galaxy tab a7 smt500 平板 wifi 
126,126,1853,samsung galaxy tab a7 sm-t500 10.4吋平板 wifi (32g)金/銀/灰,samsung galaxy tab a7 smt500 平板 wifi 金銀灰
127,127,1854,聯想tab m10平板電腦,聯想tab m10平板電腦
128,128,1855,lenovo tab m10 fhd tb-x606f 平板電腦(2g/32g) - 白灰,lenovo tab m10 fhd tb06f 平板電腦  白灰
129,129,1856,早鳥送google nest mini+原廠滑鼠【lenovo】ideapad duet chromebook 10.1吋平板電腦-鐵灰(ct-x636f),早鳥送google nest mini原廠滑鼠lenovoideapad duet chromebook 平板電腦鐵灰ct36f
130,130,1857,samsung galaxy tab s7+ 12.4吋八核心平板 wifi版 t970 (6g/128g)  星霧銀,samsung galaxy tab s7 八核心平板 wifi版 t970   星霧銀
131,131,1858,lenovo tab m10 fhd 10.3吋平板-鐵灰 型號:tb-x606f,lenovo tab m10 fhd 平板鐵灰 型號tb06f
132,132,1859,samsung galaxy tab s6 lite  p610_4g/64g-(wifi)-粉出色,samsung galaxy tab s6 lite  p610wifi粉出色
133,133,1861,magic keyboard組【apple】2020 ipad pro 平板電腦 (12.9吋/wifi/128gb),magic keyboard組apple2020 ipad pro 平板電腦 wifib
134,134,1862,samsung galaxy tab s6 lite 64g wifi 藍 型號:sm-p610nzbabri,samsung galaxy tab s6 lite  wifi 藍 型號smp610nzbabri
135,135,1863,30w快速充電組【apple 蘋果】2020 ipad air 4 平板電腦(10.9吋/wifi/256g),30w快速充電組apple 蘋果2020 ipad air 4 平板電腦wifi
136,136,1864,【samsung 三星】galaxy tab a7 64g sm-t500 10.4吋平板電腦(wifi),samsung 三星galaxy tab a7  smt500 平板電腦wifi
137,137,1865,samsung galaxy tab s6 lite 10.4吋 wifi 4g/64g 平板電腦 p610,samsung galaxy tab s6 lite  wifi  平板電腦 p
138,138,1867,samsung galaxy tab s7+ 5g 星霧金,samsung galaxy tab s7  星霧金
139,139,1868,2019 apple ipad mini 7.9 吋 64g wifi 太空灰 (muqw2ta/a),2019 apple ipad mini 79 吋  wifi 太空灰 muqw2taa
140,140,1869,apple ipad 8th 32g/128g wifi 10.2吋 (2020全新第8代) 台灣公司貨,apple ipad 8th  wifi  2020全新第8代 台灣公司貨
141,141,1870,【apple 蘋果】2020 ipad pro 11吋 平板電腦(11吋/ wi-fi /128g),apple 蘋果2020 ipad pro  平板電腦 wifi 
142,142,1871,【apple 蘋果】2019 ipad mini 5 平板電腦(7.9吋/wifi/64g),apple 蘋果2019 ipad mini 5 平板電腦wifi
143,143,1872,samsung galaxy tab a7 10.4吋 t500 wifi 3g/32g 平板-灰色,samsung galaxy tab a7  t500 wifi  平板灰色
144,144,1873,【西瓜通訊】高雄有店面 盒裝福利機9.9成新 三星 galaxy tab a 8.0 黑 (2019) lte t295,西瓜通訊高雄有店面 盒裝福利機99成新 三星 galaxy tab a 80 黑 2019 lte t
145,145,1875,samsung 三星 galaxy tab a7 t500 (wifi版/3g/32g) 平板電腦-網,samsung 三星 galaxy tab a7 t500 wifi版 平板電腦網
146,146,1876,【samsung 三星】galaxy tab s6 10.5吋 平板電腦(wi-fi/t860),samsung 三星galaxy tab s6  平板電腦wifit860
147,147,1877,microsoft 微軟 surface pro 7  12.3吋 i5 8g/128gb 白金平板-網,microsoft 微軟 surface pro 7   i5 b 白金平板網
148,148,1878,【lenovo】m10 plus fhd 10.3吋 八核心平板電腦(tb-x606f),lenovom10 plus fhd  八核心平板電腦tb06f
149,149,1879,豪禮多選一【samsung 三星】galaxy tab s6 lite 10.4 p610(4g/64g),豪禮多選一samsung 三星galaxy tab s6 lite 104 p610
150,150,1881,【samsung 三星】galaxy tab s5e 10.5吋 平板電腦(wi-fi/t720),samsung 三星galaxy tab s5e  平板電腦wifit720
151,151,1882,samsung galaxy tab a 2019 8吋平板 t295 (lte/32g)-黑色,samsung galaxy tab a 2019 平板 t295 lte黑色
152,152,1883,110801395158 三星tab s6 lite wi-fi 64g-藍,三星tab s6 lite wifi 藍
153,153,1884,【samsung 三星】galaxy tab a7 3g/32g 10.4吋 平板電腦(wi-fi/t500),samsung 三星galaxy tab a7   平板電腦wifit500
154,154,1885,microsoft 微軟 surface book3 slk-00020 白金(i7-1065g7/32g/gtx1650-4g/512g pcie/w10/13.5),microsoft 微軟 surface book3 slk00020 白金i77gt650 pciew10135
155,155,1886,samsung galaxy tab a 8(t295)lte 黑 型號:sm-t295nzkabri黑,samsung galaxy tab a 8t295lte 黑 型號smt295nzkabri黑
156,156,1887,apple ipad air 64g wifi 平板電腦(灰/銀/金/藍/綠【2020年版現貨+預購【愛買】,apple ipad air  wifi 平板電腦灰銀金藍綠2020年版預購愛買
157,157,1888,sony 43x7000g,sony 43x
158,158,1889,apple ipad 8th 32g wifi 10.2吋平板電腦 _ 台灣公司貨 (2020) + 贈品,apple ipad 8th  wifi 平板電腦  台灣公司貨 2020  贈品
159,159,1890,2020 apple ipad air 10.9吋 64g lte 天藍色 (myh02ta/a),2020 apple ipad air   lte 天藍色 myh02taa
160,160,1891,microsoft 微軟 surface pro 7 vdv-00011 白金(i5-1035g4/8g/128g/w10/fhd/12.3),microsoft 微軟 surface pro 7 vdv00011 白金i54w10fhd123
161,161,1892,三折防摔殼+鋼化保貼組【apple 蘋果】2020 ipad air 4 平板電腦(10.9吋/wifi/256g),三折防摔殼鋼化保貼組apple 蘋果2020 ipad air 4 平板電腦wifi
162,162,1893,2020 apple ipad air 10.9吋 64g wifi 銀色 (myfn2ta/a),2020 apple ipad air   wifi 銀色 myfn2taa
163,163,1895,【lenovo】tab m8 8吋 四核心平板電腦(tb-8505f),lenovotab m8  四核心平板電腦tb8505f
164,164,1896,三星-灰 tab a7 10.4吋 wi-fi/32g - sm-t500nzaabri,三星灰 tab a7  wifi  smt500nzaabri
165,165,1897,【apple 蘋果】ipad air 4 平板電腦10.9吋/wifi/64g(周邊全配組),apple 蘋果ipad air 4 平板電腦wifi周邊全配組
166,166,1899,【apple 蘋果】福利品 ipad pro 10.5吋 lte 64gb 平板電腦(a1709),apple 蘋果福利品 ipad pro  lte b 平板電腦a1709
167,167,1900,福利品 lenovo聯想 mototab tb-x704 10.1吋高通八核心lte平板電腦 (2g/32g),福利品 lenovo聯想 mototab tb04 高通八核心lte平板電腦 
168,168,1901,tcl 43s6500fs,tcl 43s6500fs
169,169,1902,samsung galaxy tab a8 (2019、4g),samsung galaxy tab a8 2019、
170,170,1903,三折防摔殼+鋼化保貼組【apple 蘋果】2020 ipad air 4 平板電腦(10.9吋/wifi/64g),三折防摔殼鋼化保貼組apple 蘋果2020 ipad air 4 平板電腦wifi
171,171,1904,【apple 蘋果】2020 ipad air 4平板電腦(10.9吋/lte/64g/送五好禮),apple 蘋果2020 ipad air 4平板電腦lte送五好禮
172,172,1905,samsung galaxy tab a7 t500 10.4吋平板 wifi (64g) 金/灰,samsung galaxy tab a7 t500 平板 wifi  金灰
173,173,1906,三星tab a7 32g平板,三星tab a7 平板
174,174,1907,apple ipad air wi-fi (2020),apple ipad air wifi 2020
175,175,1908,【asus 華碩】福利品 transformer pad tf103ce 10.1吋 四核心  android 5.0 平板電腦(1g/16g),asus 華碩福利品 transformer pad tf103ce  四核心  android 50 平板電腦
176,176,1910,2020 apple ipad air 10.9吋 64g wifi 玫瑰金色 (myfp2ta/a),2020 apple ipad air   wifi 玫瑰金色 myfp2taa
177,177,1911,samsung galaxy tab a7(sm-t500) wifi (3g/32g),samsung galaxy tab a7smt500 wifi 
178,178,1912,lenovo tab m10 tb-x505f 10吋平板電腦wifi版(2g/16g)-白色,lenovo tab m10 tb05f 平板電腦wifi版白色
179,179,1914,lenovo tab m10 fhd plus(2nd gen) tb-x606f 平板電腦,lenovo tab m10 fhd plus2nd gen tb06f 平板電腦
180,180,1915,apple ipad air 64g wifi 平板電腦(灰/銀/金/藍/綠)【2020年版】【愛買】,apple ipad air  wifi 平板電腦灰銀金藍綠2020年版愛買
181,181,1916,【apple 蘋果】2020 ipad air 4平板電腦(10.9吋/wifi/256g),apple 蘋果2020 ipad air 4平板電腦wifi
182,182,1917,apple 第八代 ipad 10.2 吋 32g wifi 太空灰色 (myl92ta/a),apple 第八代 ipad 102 吋  wifi 太空灰色 myl92taa
183,183,1918,apple 第八代 ipad 10.2 吋 32g wifi 金色 (mylc2ta/a),apple 第八代 ipad 102 吋  wifi 金色 mylc2taa
184,184,1919,apple ipad air 4 wi-fi 64gb 10.9吋 平板電腦(2020版),apple ipad air 4 wifi b  平板電腦2020版
185,185,1920,【apple 蘋果】2020 ipad air 4 平板電腦(10.9吋/wifi/64g),apple 蘋果2020 ipad air 4 平板電腦wifi
